   1   1  30 0.1752848903E-11 0.6886947458E-10 -.1855555356E-09
   1   1  31 0.1616376941E-11 0.6203982760E-10 -.2379984996E-09
   1   1  32 0.1488705455E-11 0.5597157665E-10 -.2863516812E-09
   1   1  33 0.1368020691E-11 0.5053837368E-10 -.3313043084E-09
   1   1  34 0.1255829206E-11 0.4575221387E-10 -.3721368707E-09
   1   1  35 0.1150486817E-11 0.4165748201E-10 -.4074823536E-09
   1   1  36 0.1007297911E-11 0.3510380847E-10 -.4328704469E-09
   1   1  37 0.9487770101E-12 0.3482505556E-10 -.4284505255E-09
   1   1  38 0.8733023535E-12 0.2973935427E-10 -.3523516649E-09
   1   1  39 0.7847872038E-12 0.2491587576E-10 -.2883577245E-09
   1   1  40 0.7138946106E-12 0.2129344003E-10 -.2430007488E-09
   1   1  41 0.6513896473E-12 0.1830351700E-10 -.2091162912E-09
   1   1  42 0.5904205725E-12 0.1592698755E-10 -.1811681447E-09
   1   1  43 0.5401378843E-12 0.1391413106E-10 -.1591204928E-09
   1   1  44 0.4946184408E-12 0.1229118896E-10 -.1399947071E-09
   1   1  45 0.4545763831E-12 0.1086904257E-10 -.1245473583E-09
   1   1  46 0.4206362617E-12 0.9621157486E-11 -.1111688947E-09
   1   1  47 0.3883869331E-12 0.8583196941E-11 -.9984429077E-10
   1   1  48 0.3568192956E-12 0.7439725511E-11 -.8883115875E-10
   1   1  49 0.3318115048E-12 0.6716112554E-11 -.8032708274E-10
   1   1  50 0.3126286285E-12 0.6013667062E-11 -.7167973788E-10
   1   1  51 0.2955104246E-12 0.5481473938E-11 -.6529014005E-10
   1   1  52 0.2800120826E-12 0.5036130152E-11 -.5950148562E-10
   1   1  53 0.2755920024E-12 0.4492442689E-11 -.5365570828E-10
   1   1  54 0.2665475113E-12 0.4158753902E-11 -.4920251778E-10
   1   1  55 0.2619742568E-12 0.3875984844E-11 -.4529947207E-10
   1   1  56 0.2638460360E-12 0.3582003727E-11 -.4116668861E-10
   1   1  57 0.2579381577E-12 0.3336690890E-11 -.3614695486E-10
   1   1  58 0.2601242202E-12 0.3159099729E-11 -.3470082531E-10
   1   1  59 0.2679370575E-12 0.2946789930E-11 -.3022467368E-10
   1   1  60 0.2616658924E-12 0.2871133613E-11 -.2971416987E-10
   1   1  61 0.2782612346E-12 0.2693233835E-11 -.2534051261E-10
   1   1  62 0.2611869580E-12 0.2691652272E-11 -.2472734717E-10
   1   1  63 0.2811824495E-12 0.2549491709E-11 -.2194002755E-10
   1   1  64 0.2908528498E-12 0.2462254292E-11 -.2029892870E-10
   1   1  65 0.2884619061E-12 0.2433016891E-11 -.1978511751E-10
   1   1  66 0.2874794812E-12 0.2397025651E-11 -.1950257442E-10
   1   1  67 0.3396712194E-12 0.2291165645E-11 -.1485883518E-10
   1   1  68 0.3413262278E-12 0.2256361838E-11 -.1386645810E-10
   1   1  69 0.3419098275E-12 0.2237777757E-11 -.1299687924E-10
   1   1  70 0.3451018612E-12 0.2216078713E-11 -.1208570213E-10
   1   1  71 0.3481886358E-12 0.2202254020E-11 -.1124274412E-10
   1   1  72 0.3517553088E-12 0.2190859118E-11 -.1042676289E-10
   1   1  73 0.3581044036E-12 0.2126583602E-11 -.9516825907E-11
   1   1  74 0.3609932182E-12 0.2178179593E-11 -.8922240732E-11
   1   1  75 0.3685287574E-12 0.2150321860E-11 -.7898125895E-11
   1   1  76 0.3701323797E-12 0.2184102968E-11 -.7187076673E-11
   1   1  77 0.3693575138E-12 0.2140192916E-11 -.6796566088E-11
   1   1  78 0.3696904408E-12 0.2201967407E-11 -.6099097929E-11
   1   1  79 0.3687853378E-12 0.2132113441E-11 -.5908502922E-11
   1   1  80 0.3701792871E-12 0.2198486300E-11 -.5239844133E-11
   1   1  81 0.3701954929E-12 0.2129951799E-11 -.5070723667E-11
   1   1  82 0.3721723615E-12 0.2196595373E-11 -.4399674410E-11
   1   1  83 0.3722439083E-12 0.2132997256E-11 -.4247729592E-11
   1   1  84 0.3847083176E-12 0.2216257766E-11 -.3526439296E-11
   1   1  85 0.3824957937E-12 0.2204645645E-11 -.3255800202E-11
   1   1  86 0.3802775370E-12 0.2211475328E-11 -.2986302320E-11
   1   1  87 0.3784465380E-12 0.2200695681E-11 -.2734505919E-11
   1   1  88 0.3766251629E-12 0.2208710394E-11 -.2482738324E-11
   1   1  89 0.3751853534E-12 0.2200989962E-11 -.2245762278E-11
   1   1  90 0.3740536302E-12 0.2210542288E-11 -.2007277024E-11
   1   1  91 0.3732972309E-12 0.2200289087E-11 -.1770490527E-11
   1   1  92 0.3722351839E-12 0.2214854953E-11 -.1541270181E-11
   1   1  93 0.3725262233E-12 0.2220014009E-11 -.1300239259E-11
   1   1  94 0.3725977360E-12 0.2236440039E-11 -.1052460053E-11
   1   1  95 0.3740779753E-12 0.2209398784E-11 -.7180020263E-12
   1   1  96 0.3708927145E-12 0.2211265175E-11 -.2832759225E-12
   1   1  97 0.3587495941E-12 0.2132175661E-11 0.5592348735E-13
   1   1  98 0.3646792995E-12 0.2183691617E-11 -.2846422401E-12
   1   1  99 0.3628444727E-12 0.2224216367E-11 0.1915387971E-12
   1   1 100 0.3463161974E-12 0.2161783322E-11 0.5730283143E-12
   1   1 101 0.3527728152E-12 0.2203606813E-11 0.3492590372E-12
   1   1 102 0.3365434621E-12 0.2142771406E-11 0.7155907832E-12
   1   1 103 0.3425875188E-12 0.2183955806E-11 0.4947644238E-12
   1   1 104 0.3272242727E-12 0.2125452615E-11 0.8414838276E-12
